,subway_board_stop_name,per_weight_wd_trips_rsadj,averageboardings_wkday
0,1 Av,860.76,172.152
1,103 St,326.04999999999995,65.21
2,103 St - Corona Plaza,44.36,8.872
3,111 St,328.4,65.67999999999999
4,116 St,367.3,73.46000000000001
5,121 St,100.39,20.078
6,125 St,5109.430000000001,1021.8860000000002
7,135 St,957.8299999999999,191.56599999999997
8,138 St - Grand Concourse,162.78,32.556
9,14 St,3258.9700000000007,651.7940000000001
10,14 St - Union Sq,1996.8699999999997,399.3739999999999
11,145 St,1760.8700000000003,352.1740000000001
12,149 St - Grand Concourse,2500.89,500.178
13,15 St - Prospect Park,1041.87,208.37399999999997
14,155 St,104.86,20.972
15,157 St,43.82,8.764
16,161 St - Yankee Stadium,1719.7,343.94
17,167 St,2603.8,520.76
18,169 St,3223.72,644.7439999999999
19,170 St,1225.6299999999999,245.12599999999998
20,175 St,1204.46,240.892
21,18 Av,1042.28,208.456
22,181 St,3006.6800000000003,601.336
23,182-183 Sts,983.05,196.60999999999999
24,2 Av,465.15999999999997,93.032
25,20 Av,531.46,106.292
26,207 St,352.49,70.498
27,21 St - Queensbridge,2990.3699999999994,598.0739999999998
28,225 St,109.94,21.988
29,23 St,1849.5300000000007,369.9060000000001
30,231 St,2501.86,500.372
31,233 St,129.71,25.942
32,238 St,100.9,20.18
33,25 Av,72.84,14.568000000000001
34,3 Av - 149 St,4043.05,808.61
35,30 Av,103.68,20.736
36,33 St,291.67,58.334
37,34 St - 11 Av,87.37,17.474
38,34 St - Herald Sq,1390.31,278.062
39,34 St - Penn Station,1768.76,353.752
40,42 St - Bryant Pk,566.0799999999999,113.21599999999998
41,42 St - Port Authority Bus Terminal,348.7,69.74
42,46 St,349.53999999999996,69.90799999999999
43,47-50 Sts - Rockefeller Ctr,264.14,52.827999999999996
44,49 St,17.29,3.4579999999999997
45,5 Av,308.12,61.624
46,5 Av/59 St,142.7,28.54
47,50 St,508.15,101.63
48,57 St,51.03,10.206
49,57 St - 7 Av,260.04,52.008
50,59 St,202.16000000000003,40.432
51,59 St - Columbus Circle,902.68,180.536
52,63 Dr - Rego Park,2670.91,534.182
53,66 St - Lincoln Center,752.5500000000001,150.51000000000002
54,68 St - Hunter College,488.63,97.726
55,69 St,428.19,85.638
56,7 Av,1753.3999999999996,350.67999999999995
57,72 St,1653.02,330.604
58,74 St - Broadway,20.74,4.148
59,77 St,1175.66,235.132
60,79 St,69.16,13.831999999999999
61,8 Av,136.87,27.374000000000002
62,8 St - NYU,937.24,187.448
63,81 St - Museum of Natural History,365.61999999999995,73.124
64,82 St - Jackson Hts,328.55,65.71000000000001
65,86 St,5824.610000000002,1164.9220000000005
66,88 St,68.23,13.646
67,9 Av,515.1,103.02000000000001
68,9 St,1923.06,384.61199999999997
69,90 St - Elmhurst Av,138.76,27.752
70,96 St,5302.800000000002,1060.5600000000004
71,Alabama Av,196.26999999999998,39.254
72,Astor Pl,307.40000000000003,61.480000000000004
73,Astoria - Ditmars Blvd,41.56,8.312000000000001
74,Astoria Blvd,191.34,38.268
75,Atlantic Av - Barclays Ctr,655.2299999999999,131.046
76,Avenue J,652.34,130.46800000000002
77,Avenue M,197.64999999999998,39.529999999999994
78,Avenue U,1038.63,207.72600000000003
79,Avenue X,104.65,20.93
80,Bay Pkwy,2645.75,529.15
81,Bay Ridge Av,107.02,21.404
82,Baychester Av,153.69,30.738
83,Bedford - Nostrand Avs,428.41999999999996,85.684
84,Bedford Av,32.54,6.508
85,Bedford Park Blvd,127.28999999999999,25.458
86,Bedford Park Blvd - Lehman College,177.81,35.562
87,Borough Hall,1010.3400000000001,202.06800000000004
88,Bowling Green,1591.5300000000002,318.30600000000004
89,Brighton Beach,1371.2200000000003,274.244
90,Broadway,970.1599999999999,194.03199999999998
91,Broadway Jct,64.7,12.940000000000001
92,Broadway-Lafayette St,232.15,46.43
93,Bronx Park East,200.19,40.038
94,Brooklyn Bridge - City Hall,181.5,36.3
95,Buhre Av,1177.87,235.57399999999998
96,Burke Av,215.42,43.083999999999996
97,Burnside Av,542.44,108.48800000000001
98,Canal St,27.81,5.561999999999999
99,Canarsie - Rockaway Pkwy,4793.66,958.732
100,Castle Hill Av,853.96,170.792
101,Cathedral Pkwy (110 St),55.3,11.059999999999999
102,Central Av,209.79000000000002,41.958000000000006
103,Central Park North (110 St),101.41000000000001,20.282000000000004
104,Chambers St,2128.13,425.62600000000003
105,Chauncey St,380.52,76.104
106,Church Av,1743.6100000000006,348.7220000000001
107,Cleveland St,26.29,5.258
108,Clinton - Washington Avs,239.73,47.946
109,Coney Island - Stillwell Av,4319.650000000001,863.9300000000001
110,Court Sq,1840.23,368.046
111,Crown Hts - Utica Av,954.76,190.952
112,Cypress Av,84.17,16.834
113,Cypress Hills,5.35,1.0699999999999998
114,DeKalb Av,1638.4199999999998,327.68399999999997
115,Delancey St,1729.11,345.822
116,E 105 St,1195.4899999999998,239.09799999999996
117,E 149 St,413.72,82.744
118,E 180 St,504.61,100.922
119,East Broadway,79.73,15.946000000000002
120,Eastern Pkwy - Brooklyn Museum,63.29,12.658
121,Elder Av,835.8199999999999,167.164
122,Eltingville,14.28,2.856
123,Essex St,321.75,64.35
124,Euclid Av,2259.5,451.9
125,Far Rockaway - Mott Av,459.44,91.888
126,Flatbush Av - Brooklyn College,11781.899999999998,2356.3799999999997
127,Flushing - Main St,25951.400000000005,5190.280000000001
128,Flushing Av,900.01,180.002
129,Fordham Rd,1987.3600000000001,397.47200000000004
130,Forest Hills - 71 Av,10387.219999999996,2077.443999999999
131,Franklin Av,94.99000000000001,18.998
132,Freeman St,223.22,44.644
133,Fulton St,109.22,21.844
134,Gates Av,19.2,3.84
135,Graham Av,459.65,91.92999999999999
136,Grand Army Plaza,134.06,26.812
137,Grand Av - Newtown,2112.59,422.51800000000003
